Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,23,TOR,38,11,23.3,3.9,8.1,.482,0.5,2.0,.260,3.4,6.1,.557,.515,1.9,2.8,.689,2.0,4.6,6.6,1.0,0.6,0.7,1.2,2.1,10.2
Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,.597,0.0,0.0,.000,3.7,6.2,.599,.597,1.1,3.1,.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
Bam Adebayo,C,25,MIA,57,57,35.0,8.4,15.7,.536,0.0,0.2,.083,8.4,15.5,.543,.537,4.4,5.5,.800,2.6,7.2,9.8,3.2,1.2,0.8,2.5,2.8,21.2
Ochai Agbaji,SG,22,UTA,39,2,15.6,1.8,3.8,.483,0.9,2.3,.396,0.9,1.5,.621,.604,0.4,0.6,.682,0.7,1.1,1.8,0.6,0.2,0.1,0.3,1.4,5.0
Santi Aldama,PF,22,MEM,56,18,22.0,3.3,7.0,.474,1.4,3.7,.364,2.0,3.3,.601,.571,1.4,1.9,.729,1.0,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.4
Nickeil Alexander-Walker,SG,24,TOT,40,3,14.5,2.3,4.9,.479,1.0,2.4,.412,1.3,2.4,.546,.582,0.7,1.0,.675,0.3,1.4,1.7,2.0,0.6,0.4,1.2,1.5,6.3
Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,.488,1.0,2.4,.402,1.3,2.3,.578,.591,0.8,1.1,.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
Nickeil Alexander-Walker,SG,24,MIN,4,0,13.0,2.5,6.0,.417,1.3,2.5,.500,1.3,3.5,.357,.521,0.0,0.3,.000,0.5,1.5,2.0,0.5,0.3,0.5,1.0,0.8,6.3
Grayson Allen,SG,27,MIL,56,54,27.6,3.4,7.8,.440,2.0,4.9,.404,1.4,2.8,.503,.569,1.7,1.9,.906,0.9,2.5,3.4,2.4,0.8,0.2,1.1,1.6,10.5
Jarrett Allen,C,24,CLE,57,57,33.2,6.2,9.4,.654,0.0,0.2,.111,6.2,9.3,.664,.655,2.5,3.4,.733,3.2,6.7,9.9,1.6,0.8,1.2,1.5,2.2,14.8
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,.411,1.4,4.0,.336,1.9,4.0,.488,.496,1.1,1.3,.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0
Kyle Anderson,PF,29,MIN,50,34,26.2,3.2,6.3,.503,0.6,1.4,.423,2.6,4.9,.527,.551,1.7,2.2,.764,0.8,4.1,4.8,4.1,1.1,0.9,1.4,2.1,8.6
Giannis Antetokounmpo,PF,28,MIL,48,48,32.5,11.1,20.7,.538,0.8,2.9,.270,10.3,17.7,.583,.557,8.2,12.7,.646,2.3,9.7,12.0,5.4,0.8,0.8,3.9,3.3,31.3
Thanasis Antetokounmpo,SF,30,MIL,26,0,4.1,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.313,.250,0.2,0.3,.500,0.3,0.7,1.0,0.2,0.1,0.1,0.3,0.5,0.5
Cole Anthony,PG,22,ORL,42,3,24.7,4.1,9.4,.435,1.1,3.2,.333,3.0,6.2,.488,.492,2.5,2.8,.890,0.6,3.9,4.5,4.1,0.6,0.6,1.5,2.5,11.8
OG Anunoby,SF,25,TOR,48,48,35.8,6.1,13.4,.453,1.8,5.1,.356,4.3,8.3,.514,.522,2.4,2.9,.825,1.4,3.9,5.4,2.0,2.0,0.8,2.1,3.0,16.4
Ryan Arcidiacono,PG,28,TOT,14,1,4.9,0.3,1.0,.286,0.3,0.6,.444,0.0,0.4,.000,.429,0.0,0.0,,0.0,0.7,0.7,0.6,0.1,0.0,0.2,0.4,0.9
Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,.200,0.1,0.3,.333,0.0,0.2,.000,.300,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3
Ryan Arcidiacono,PG,28,POR,3,1,14.3,1.0,3.0,.333,1.0,2.0,.500,0.0,1.0,.000,.500,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.7,1.0,3.0
Deni Avdija,SF,22,WAS,58,33,26.3,3.3,7.4,.439,0.9,3.1,.294,2.4,4.4,.539,.499,1.7,2.2,.752,1.0,5.2,6.2,2.6,0.9,0.5,1.5,2.9,9.1
Deandre Ayton,C,24,PHO,53,53,30.3,8.2,13.8,.591,0.1,0.4,.304,8.0,13.4,.600,.595,2.2,3.0,.739,2.8,7.3,10.1,2.0,0.6,0.8,1.9,2.8,18.7
Udoka Azubuike,C,23,UTA,25,0,5.8,0.9,1.1,.852,0.0,0.0,,0.9,1.1,.852,.852,0.1,0.2,.333,0.6,1.6,2.2,0.2,0.2,0.2,0.4,0.5,1.9
Marvin Bagley III,C,23,DET,27,13,21.6,4.7,8.7,.538,0.3,1.4,.243,4.4,7.4,.593,.557,1.6,2.3,.698,2.5,4.1,6.6,0.6,0.5,0.7,0.9,2.0,11.4
Patrick Baldwin Jr.,SF,20,GSW,19,0,8.8,1.9,4.2,.450,1.5,3.3,.468,0.4,0.9,.389,.631,0.2,0.3,.667,0.1,1.5,1.5,0.2,0.3,0.1,0.4,0.4,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,.411,4.0,10.6,.376,4.2,9.4,.450,.510,2.8,3.4,.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3
Mo Bamba,C,24,TOT,43,6,16.9,2.6,5.3,.485,1.0,2.7,.385,1.5,2.6,.591,.584,0.9,1.4,.661,1.1,3.7,4.8,1.0,0.3,1.0,0.6,2.3,7.1
Mo Bamba,C,24,ORL,40,6,17.0,2.7,5.4,.495,1.1,2.7,.398,1.6,2.7,.594,.596,0.9,1.3,.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3
Mo Bamba,C,24,LAL,3,0,14.7,1.3,4.3,.308,0.7,3.0,.222,0.7,1.3,.500,.385,1.3,2.7,.500,0.7,6.7,7.3,0.7,0.0,1.0,1.0,3.7,4.7
Paolo Banchero,PF,20,ORL,55,55,33.7,6.5,15.5,.421,1.1,4.1,.274,5.4,11.4,.474,.457,5.7,7.6,.754,1.2,5.5,6.6,3.6,0.9,0.5,2.7,2.2,19.9
Desmond Bane,SG,24,MEM,37,37,31.1,7.5,16.2,.463,3.0,7.2,.416,4.5,8.9,.502,.556,3.3,3.6,.904,0.7,4.2,5.0,4.1,1.0,0.4,2.2,2.4,21.3
Dalano Banton,PG,23,TOR,27,2,9.3,1.7,4.1,.411,0.5,1.7,.283,1.2,2.4,.500,.469,0.6,0.7,.789,0.3,1.0,1.3,1.1,0.5,0.4,0.6,1.1,4.4
Dominick Barlow,SF,19,SAS,11,0,10.1,1.3,2.4,.538,0.0,0.4,.000,1.3,2.0,.636,.538,0.8,0.9,.900,1.3,1.3,2.5,0.6,0.2,0.2,0.5,1.9,3.4
Harrison Barnes,PF,30,SAC,60,60,32.6,4.5,9.6,.469,1.6,4.4,.370,2.9,5.2,.553,.554,4.1,4.9,.836,1.0,3.6,4.6,1.6,0.8,0.1,1.1,1.3,14.7
Scottie Barnes,PF,21,TOR,59,58,35.3,6.0,13.3,.453,0.9,3.1,.301,5.1,10.2,.499,.488,2.6,3.4,.769,2.3,4.7,7.0,4.8,1.0,0.9,2.1,2.2,15.5
RJ Barrett,SG,22,NYK,56,56,34.1,6.9,16.1,.429,1.8,5.4,.330,5.1,10.7,.479,.484,4.0,5.3,.753,0.9,4.3,5.2,2.8,0.5,0.2,2.3,2.6,19.5
Will Barton,SG,32,WAS,40,0,19.6,2.8,7.1,.387,1.3,3.4,.380,1.5,3.7,.395,.479,0.9,1.1,.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7
Charles Bassey,C,22,SAS,28,1,13.9,2.2,3.4,.642,0.1,0.3,.429,2.1,3.1,.659,.658,0.7,1.0,.655,2.1,3.4,5.5,1.3,0.4,0.9,1.1,2.1,5.1
Keita Bates-Diop,SF,27,SAS,47,25,20.6,3.1,6.4,.492,0.6,1.6,.364,2.5,4.7,.536,.538,1.4,1.8,.791,1.0,2.4,3.4,1.2,0.7,0.3,0.8,1.0,8.3
Nicolas Batum,PF,34,LAC,59,11,22.0,2.1,5.0,.418,1.6,4.1,.384,0.5,0.9,.564,.574,0.5,0.7,.667,0.9,3.3,4.2,1.5,0.6,0.7,0.7,2.0,6.3
Darius Bazley,PF,22,OKC,36,1,15.4,2.0,4.4,.449,0.5,1.3,.400,1.5,3.1,.469,.506,1.0,1.8,.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4
Bradley Beal,SG,29,WAS,38,38,33.0,8.7,16.8,.515,1.7,4.6,.371,6.9,12.2,.569,.566,3.7,4.4,.839,0.8,2.8,3.6,5.3,0.9,0.7,2.8,1.9,22.7
Malik Beasley,SG,26,TOT,60,16,26.6,4.8,12.2,.396,3.1,8.6,.359,1.7,3.6,.484,.523,0.6,0.8,.787,0.5,3.1,3.5,1.7,0.9,0.1,1.1,1.5,13.4
Malik Beasley,SG,26,UTA,55,13,26.8,4.8,12.2,.396,3.1,8.6,.359,1.7,3.6,.485,.522,0.7,0.8,.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4
Malik Beasley,SG,26,LAL,5,3,24.2,5.0,12.8,.391,3.4,9.4,.362,1.6,3.4,.471,.523,0.0,0.6,.000,0.0,2.6,2.6,1.6,1.8,0.0,1.4,2.4,13.4
MarJon Beauchamp,SF,22,MIL,39,9,14.6,2.1,5.2,.396,1.0,3.1,.319,1.1,2.1,.506,.490,0.5,0.7,.724,0.9,1.5,2.4,0.7,0.5,0.1,0.9,1.5,5.6
Dāvis Bertāns,PF,30,DAL,34,0,10.6,1.4,3.3,.423,1.1,2.9,.381,0.3,0.4,.714,.590,0.3,0.4,.833,0.2,0.8,0.9,0.4,0.2,0.1,0.3,1.1,4.1
Patrick Beverley,PG,34,TOT,47,47,26.8,2.1,5.3,.398,1.2,3.5,.341,0.9,1.8,.506,.510,0.9,1.2,.764,0.6,2.6,3.2,2.6,0.9,0.6,0.9,2.7,6.3
Patrick Beverley,PG,34,LAL,45,45,26.9,2.2,5.4,.402,1.2,3.5,.348,0.9,1.8,.506,.517,0.9,1.1,.780,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4
Patrick Beverley,PG,34,CHI,2,2,24.0,1.0,4.0,.250,0.5,3.0,.167,0.5,1.0,.500,.313,1.5,2.5,.600,1.0,4.0,5.0,2.5,0.0,0.5,1.0,2.5,4.0
Saddiq Bey,SF,23,TOT,56,32,28.6,4.6,11.3,.407,2.0,5.5,.358,2.6,5.8,.454,.494,3.3,3.8,.863,1.1,3.5,4.6,1.5,0.9,0.2,1.0,1.6,14.5
Saddiq Bey,SF,23,DET,52,30,28.8,4.7,11.7,.404,1.9,5.6,.345,2.8,6.0,.460,.488,3.5,4.0,.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8
Saddiq Bey,SF,23,ATL,4,2,24.8,3.3,7.0,.464,2.5,4.3,.588,0.8,2.8,.273,.643,0.8,0.8,1.000,1.3,3.3,4.5,0.5,0.5,0.3,1.0,1.3,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,.594,0.1,0.1,.500,0.9,1.5,.600,.609,0.2,0.3,.800,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2
Goga Bitadze,C,23,TOT,22,0,9.6,1.3,2.5,.527,0.2,0.7,.333,1.1,1.8,.600,.573,0.5,1.1,.480,1.2,1.3,2.5,0.9,0.4,0.5,0.5,1.6,3.4
Goga Bitadze,C,23,IND,21,0,9.6,1.3,2.5,.519,0.2,0.7,.286,1.1,1.8,.605,.558,0.5,1.1,.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3
Goga Bitadze,C,23,ORL,1,0,9.0,2.0,3.0,.667,1.0,1.0,1.000,1.0,2.0,.500,.833,1.0,1.0,1.000,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0
Bismack Biyombo,C,30,PHO,46,9,14.0,1.7,3.0,.572,0.0,0.0,,1.7,3.0,.572,.572,0.3,1.1,.314,1.1,3.0,4.1,0.9,0.3,1.3,0.9,1.8,3.8
Buddy Boeheim,PG,23,DET,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogdan Bogdanović,SG,30,ATL,36,5,29.6,5.4,12.3,.437,2.8,7.1,.394,2.6,5.3,.495,.550,1.1,1.4,.780,0.4,3.0,3.4,3.0,0.9,0.3,1.3,1.7,14.6
Bojan Bogdanović,PF,33,DET,58,58,31.9,7.2,14.8,.487,2.4,5.9,.402,4.9,9.0,.542,.566,4.6,5.2,.883,0.6,3.2,3.7,2.6,0.6,0.1,2.3,1.9,21.4
Bol Bol,PF,23,ORL,57,32,22.9,4.2,7.2,.577,0.5,1.5,.322,3.7,5.7,.645,.611,1.2,1.6,.745,1.1,4.9,6.1,0.8,0.4,1.3,1.7,1.3,10.0
Leandro Bolmaro,SG,22,UTA,14,0,4.9,0.2,1.4,.150,0.0,0.3,.000,0.2,1.1,.188,.150,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4
Devin Booker,SG,26,PHO,35,35,34.1,9.5,20.1,.473,2.1,6.2,.347,7.4,13.9,.529,.526,5.3,6.3,.841,0.8,3.8,4.6,5.7,0.8,0.3,2.5,2.8,26.5
Brandon Boston Jr.,SG,21,LAC,21,1,11.8,2.4,5.8,.421,0.6,1.4,.414,1.9,4.4,.424,.471,1.4,1.8,.763,0.3,1.0,1.4,0.9,0.4,0.0,0.6,1.0,6.8
Chris Boucher,PF,30,TOR,56,0,20.8,3.5,7.2,.489,0.8,2.6,.315,2.7,4.6,.585,.545,1.9,2.5,.739,2.2,3.7,5.9,0.4,0.7,0.9,0.5,2.0,9.7
James Bouknight,SG,22,CHO,26,0,13.6,1.5,4.7,.328,0.6,2.5,.250,0.9,2.2,.414,.393,0.6,0.8,.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.1,4.3
Jamaree Bouyea,PG,23,MIA,4,0,16.3,1.5,3.3,.462,0.5,1.3,.400,1.0,2.0,.500,.538,0.3,0.5,.500,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8
Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,.500,0.3,0.4,.600,0.3,0.6,.429,.625,0.3,0.3,1.000,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6
Malaki Branham,SF,19,SAS,47,14,22.4,3.7,8.4,.446,1.2,3.7,.314,2.6,4.7,.550,.515,0.8,1.0,.792,0.4,1.8,2.2,2.0,0.5,0.1,1.1,1.7,9.5
Christian Braun,SG,21,DEN,57,3,15.2,1.8,3.5,.500,0.4,1.1,.391,1.3,2.4,.551,.563,0.4,0.7,.585,0.7,1.7,2.4,0.8,0.5,0.2,0.5,1.2,4.4
Mikal Bridges,SF,26,TOT,61,61,36.1,6.4,13.8,.468,1.9,4.7,.395,4.6,9.1,.505,.535,2.9,3.2,.899,1.0,3.4,4.5,3.5,1.2,0.8,1.4,2.0,17.7
Mikal Bridges,SF,26,PHO,56,56,36.4,6.3,13.6,.463,1.8,4.7,.387,4.5,9.0,.503,.529,2.8,3.1,.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2
Mikal Bridges,SF,26,BRK,5,5,32.6,7.8,15.2,.513,2.4,5.0,.480,5.4,10.2,.529,.592,4.4,4.8,.917,1.4,4.6,6.0,2.8,1.2,1.0,1.8,2.0,22.4
Oshae Brissett,SF,24,IND,49,1,16.0,1.7,4.5,.388,0.8,2.4,.333,0.9,2.1,.451,.477,1.2,1.8,.693,0.9,2.5,3.4,0.5,0.6,0.2,0.4,1.3,5.5
Malcolm Brogdon,PG,30,BOS,53,0,25.5,5.2,10.6,.490,2.1,4.4,.464,3.2,6.2,.509,.587,2.4,2.7,.887,0.6,3.5,4.2,3.7,0.6,0.3,1.6,1.6,14.8
Dillon Brooks,SF,27,MEM,54,54,30.4,5.5,14.1,.392,1.8,5.7,.313,3.7,8.3,.447,.456,1.8,2.3,.795,0.6,2.6,3.3,2.5,0.8,0.2,1.5,3.3,14.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Brown,SG,26,DEN,61,28,28.6,4.4,9.0,.485,1.3,3.4,.380,3.1,5.6,.550,.557,1.1,1.5,.722,0.7,3.2,3.9,3.6,1.0,0.6,1.6,2.4,11.1
Greg Brown III,PF,21,POR,16,0,5.8,0.7,1.8,.393,0.1,0.4,.143,0.6,1.3,.476,.411,0.3,0.8,.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8
Jaylen Brown,SF,26,BOS,50,50,35.7,9.9,20.3,.486,2.5,7.5,.336,7.4,12.8,.574,.548,4.3,5.5,.777,1.3,5.8,7.0,3.2,1.1,0.4,3.1,2.7,26.5
Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,.571,0.0,0.2,.000,0.7,1.0,.667,.571,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5
Moses Brown,C,23,LAC,34,1,8.5,1.8,2.8,.635,0.0,0.0,,1.8,2.8,.635,.635,1.0,2.1,.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6
Sterling Brown,SG,27,LAL,4,0,6.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0
Troy Brown Jr.,SF,23,LAL,55,31,23.9,2.6,6.0,.434,1.3,3.5,.361,1.4,2.6,.532,.538,0.5,0.5,.963,0.9,3.3,4.2,1.1,0.7,0.1,0.7,1.5,7.0
Jalen Brunson,PG,26,NYK,59,59,35.2,8.4,17.5,.479,1.8,4.6,.401,6.5,12.9,.507,.531,4.9,5.9,.834,0.6,3.0,3.6,6.2,0.9,0.3,2.0,2.3,23.6
Thomas Bryant,C,25,TOT,47,25,20.2,4.4,6.9,.640,0.5,1.1,.431,3.9,5.8,.679,.674,1.9,2.5,.739,1.6,4.9,6.4,0.6,0.3,0.6,0.7,1.8,11.1
Thomas Bryant,C,25,LAL,41,25,21.4,4.8,7.3,.654,0.5,1.2,.440,4.3,6.1,.697,.691,2.0,2.6,.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1
Thomas Bryant,C,25,DEN,6,0,12.3,1.5,3.5,.429,0.0,0.2,.000,1.5,3.3,.450,.429,1.3,1.8,.727,1.3,2.7,4.0,0.0,0.2,0.5,1.0,1.5,4.3
Reggie Bullock,SF,31,DAL,60,37,30.3,2.3,5.8,.397,1.9,4.9,.375,0.5,0.9,.519,.556,0.4,0.6,.686,0.5,3.0,3.5,1.4,0.8,0.2,0.5,2.3,6.9
Alec Burks,SG,31,DET,49,7,22.1,4.0,9.0,.441,1.9,4.6,.420,2.0,4.4,.463,.548,3.0,3.7,.816,0.4,2.7,3.0,2.2,0.7,0.1,1.1,1.9,12.8
Deonte Burton,SG,29,SAC,2,0,3.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Butler,SF,33,MIA,47,47,33.4,7.2,14.0,.518,0.5,1.7,.321,6.7,12.3,.544,.537,6.9,8.2,.844,2.2,3.7,5.9,5.1,2.0,0.3,1.7,1.3,21.9
John Butler,C,20,POR,9,0,3.3,0.1,0.6,.200,0.0,0.4,.000,0.1,0.1,1.000,.200,0.0,0.0,,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.2,0.2
Jamal Cain,SF,23,MIA,14,0,13.3,1.9,3.6,.520,0.1,0.9,.167,1.7,2.7,.632,.540,0.9,1.1,.750,0.9,1.9,2.8,0.6,0.6,0.0,0.3,1.1,4.7
Kentavious Caldwell-Pope,SG,29,DEN,59,59,31.5,4.1,8.5,.480,1.9,4.3,.452,2.1,4.2,.508,.594,1.4,1.6,.842,0.5,2.4,2.9,2.3,1.4,0.5,1.2,2.1,11.4
Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,.231,0.4,1.4,.273,0.0,0.3,.000,.346,0.1,0.3,.500,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3
Vlatko Čančar,PF,25,DEN,47,8,16.3,2.1,4.2,.497,0.9,2.1,.412,1.3,2.2,.578,.598,0.6,0.7,.935,0.5,1.9,2.3,1.5,0.4,0.3,0.7,1.6,5.7
Clint Capela,C,28,ATL,45,43,26.6,5.4,8.7,.624,0.0,0.0,.000,5.4,8.7,.626,.624,1.1,1.9,.593,4.2,7.0,11.2,0.8,0.7,1.2,0.8,2.2,12.0
Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0.7,.250,0.0,0.0,,0.2,0.7,.250,.250,0.2,0.2,1.000,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jevon Carter,PG,27,MIL,60,33,22.7,2.8,6.6,.422,1.6,3.9,.403,1.3,2.8,.449,.539,0.4,0.5,.781,0.4,2.2,2.7,2.5,1.0,0.4,1.1,2.0,7.6
Wendell Carter Jr.,C,23,ORL,42,39,29.7,5.5,10.7,.517,1.2,3.6,.340,4.3,7.1,.605,.573,2.8,3.7,.739,2.2,6.6,8.7,2.5,0.4,0.6,2.2,3.0,15.0
Alex Caruso,PG,28,CHI,51,21,24.2,1.9,4.3,.442,0.8,2.2,.375,1.1,2.1,.514,.539,0.9,1.1,.793,0.6,2.5,3.1,3.2,1.6,0.6,1.3,2.5,5.5
Julian Champagnie,SF,21,PHI,2,0,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
